iter	MultiClass
0	2.848376994
1	2.763138291
2	2.712599187
3	2.664603856
4	2.625141959
5	2.577638058
6	2.546265319
7	2.511865491
8	2.481533731
9	2.448843723
10	2.419005031
11	2.389195039
12	2.361614006
13	2.337408305
14	2.311491691
15	2.286772135
16	2.262845646
17	2.24091801
18	2.219490812
19	2.199295946
20	2.178648519
21	2.156971692
22	2.138337728
23	2.119668364
24	2.10126702
25	2.085282868
26	2.071451116
27	2.056109019
28	2.039476163
29	2.023299281
30	2.006532732
31	1.991389532
32	1.979015955
33	1.96489178
34	1.949331698
35	1.937331805
36	1.921822273
37	1.908824478
38	1.894496683
39	1.882948563
40	1.869622837
41	1.857755777
42	1.845711657
43	1.832119208
44	1.822233305
45	1.811942015
46	1.798937784
47	1.785810911
48	1.77529849
49	1.76397217
50	1.752646353
51	1.740158082
52	1.729373274
53	1.718851952
54	1.710539995
55	1.700001577
56	1.687929485
57	1.677758538
58	1.667231699
59	1.655177219
60	1.643339869
61	1.634908938
62	1.624819755
63	1.612105576
64	1.605197812
65	1.59467067
66	1.586326504
67	1.574210815
68	1.56191137
69	1.550705714
70	1.540903854
71	1.529729369
72	1.519879514
73	1.507066658
74	1.501281287
75	1.493876699
76	1.483967685
77	1.474930217
78	1.467221586
79	1.455789668
80	1.447822233
81	1.439396728
82	1.430266979
83	1.420406182
84	1.411319894
85	1.404291415
86	1.395095713
87	1.387389698
88	1.37826643
89	1.369542148
90	1.361020513
91	1.352019713
92	1.344062329
93	1.335850532
94	1.325793696
95	1.315765266
96	1.306818888
97	1.296331255
98	1.28966083
99	1.282859934
100	1.277058552
101	1.268948961
102	1.260284478
103	1.25177884
104	1.247381618
105	1.238467414
106	1.227315983
107	1.218752822
108	1.208675962
109	1.198763683
110	1.191447778
111	1.183732574
112	1.174251116
113	1.169190498
114	1.160105375
115	1.151811622
116	1.145520308
117	1.140994972
118	1.135176525
119	1.127786927
120	1.120586522
121	1.114323572
122	1.109867977
123	1.103158708
124	1.094914546
125	1.09065803
126	1.087268595
127	1.080716299
128	1.073550258
129	1.067029959
130	1.060822098
131	1.051918365
132	1.043066387
133	1.036958216
134	1.03442477
135	1.027486952
136	1.025266374
137	1.022329274
138	1.015143322
139	1.008793831
140	1.00001148
141	0.9947173177
142	0.9874875242
143	0.9831805722
144	0.9773348049
145	0.9712556939
146	0.9632799948
147	0.9617112563
148	0.9553572195
149	0.9490670528
150	0.9444018862
151	0.9385748066
152	0.9309313688
153	0.9256511821
154	0.9194217666
155	0.9129520193
156	0.9075034856
157	0.9022337337
158	0.896240973
159	0.8911721712
160	0.8875003264
161	0.8816054396
162	0.8782633198
163	0.8711940797
164	0.8664142312
165	0.8615194222
166	0.85699413
167	0.8531884613
168	0.8474482782
169	0.8436264565
170	0.838512634
171	0.8337491167
172	0.8273419725
173	0.8215028344
174	0.8164264094
175	0.8116773816
176	0.8063865749
177	0.8023274963
178	0.7966699813
179	0.792528223
180	0.7881704444
181	0.7841993386
182	0.7815135104
183	0.7793542838
184	0.7753646404
185	0.7712553365
186	0.7681048974
187	0.7628858566
188	0.7591664936
189	0.7535049133
190	0.7514266347
191	0.7481185057
192	0.7423768648
193	0.7366561495
194	0.7349213034
195	0.7298307484
196	0.726596203
197	0.7215623827
198	0.718032962
199	0.715695573
200	0.7107135971
201	0.706761403
202	0.7026987101
203	0.6982629407
204	0.6935548853
205	0.6907248135
206	0.6872979479
207	0.6822811094
208	0.6782039617
209	0.6768883305
210	0.6740326953
211	0.670958726
212	0.6673245085
213	0.6658754494
214	0.6611505925
215	0.6601750729
216	0.6563276092
