iter	Passed	Remaining
0	4	4360
1	9	4880
2	13	4340
3	17	4244
4	22	4443
5	26	4319
6	28	4068
7	31	3859
8	33	3734
9	36	3580
10	38	3434
11	40	3304
12	41	3184
13	43	3075
14	45	2985
15	47	2926
16	49	2875
17	51	2796
18	52	2731
19	54	2680
20	56	2628
21	57	2576
22	59	2527
23	61	2481
24	62	2441
25	64	2420
26	67	2418
27	68	2392
28	70	2364
29	72	2340
30	74	2313
31	75	2288
32	77	2264
33	78	2235
34	80	2217
35	82	2201
36	84	2187
37	85	2171
38	87	2164
39	89	2148
40	91	2134
41	92	2117
42	94	2100
43	96	2095
44	98	2082
45	100	2074
46	101	2061
47	103	2053
48	105	2046
49	107	2037
50	109	2030
51	110	2020
52	112	2017
53	114	2010
54	117	2010
55	118	2002
56	120	1995
57	122	1988
58	124	1981
59	125	1972
60	127	1963
61	129	1960
62	131	1955
63	133	1952
64	135	1952
65	137	1948
66	140	1949
67	141	1943
68	143	1935
69	145	1929
70	147	1924
71	149	1924
72	151	1921
73	153	1915
74	154	1908
75	156	1903
76	158	1897
77	159	1890
78	162	1889
79	164	1887
80	166	1885
81	167	1880
82	169	1874
83	171	1868
84	173	1864
85	175	1860
86	176	1855
87	178	1850
88	180	1847
89	182	1843
90	184	1842
91	186	1839
92	188	1839
93	190	1833
94	191	1829
95	193	1826
96	195	1821
97	197	1820
98	199	1816
99	201	1812
100	203	1811
101	205	1811
102	208	1812
103	210	1810
104	211	1806
105	214	1806
106	215	1802
107	217	1799
108	219	1796
109	221	1795
110	224	1794
111	226	1792
112	227	1787
113	229	1786
114	231	1782
115	233	1780
116	235	1778
117	237	1774
118	239	1770
119	240	1765
120	242	1763
121	244	1759
122	246	1758
123	248	1755
124	250	1752
125	252	1751
126	254	1751
127	257	1750
128	259	1750
129	261	1750
130	263	1749
131	266	1749
132	268	1747
133	270	1749
134	273	1752
135	277	1763
136	281	1771
137	284	1774
138	287	1779
139	290	1787
140	294	1792
141	297	1799
142	301	1806
143	303	1806
144	306	1809
145	310	1814
146	313	1817
147	316	1824
148	320	1830
149	325	1845
150	328	1849
151	332	1855
152	334	1851
153	336	1849
154	338	1847
155	341	1848
156	344	1848
157	346	1848
158	350	1851
159	353	1853
160	356	1857
161	359	1861
162	361	1857
163	363	1852
164	365	1847
165	366	1843
166	368	1838
167	370	1833
168	372	1830
169	374	1828
170	376	1825
171	378	1821
172	380	1817
173	381	1813
174	383	1808
175	385	1803
176	386	1798
177	388	1795
178	391	1793
179	393	1790
180	395	1787
181	396	1783
182	398	1779
183	400	1775
184	402	1771
185	403	1767
186	405	1763
187	407	1759
188	409	1757
189	411	1753
190	413	1750
191	415	1746
192	416	1742
193	418	1737
194	420	1735
195	422	1733
196	424	1731
197	426	1728
198	428	1725
199	430	1721
200	432	1718
201	433	1714
202	435	1709
203	437	1707
204	439	1704
205	441	1701
206	443	1698
207	445	1696
208	447	1692
209	448	1688
210	450	1684
211	452	1680
212	454	1678
213	456	1675
214	458	1673
215	460	1670
216	462	1667
217	464	1664
218	465	1661
219	467	1658
220	469	1655
221	471	1652
222	473	1649
223	475	1647
224	477	1644
225	479	1641
226	481	1638
227	483	1635
228	484	1631
229	486	1628
230	488	1625
231	490	1622
232	491	1619
233	493	1616
234	495	1613
235	497	1610
236	499	1607
237	501	1605
238	503	1604
239	506	1603
240	508	1601
241	510	1598
242	512	1595
243	514	1592
244	515	1588
245	517	1585
246	519	1582
247	521	1581
248	523	1578
249	525	1576
250	527	1573
251	528	1569
252	530	1565
253	531	1562
254	534	1560
255	536	1558
256	538	1555
257	540	1553
258	542	1550
259	544	1548
260	546	1546
261	547	1542
262	549	1539
263	551	1536
264	553	1535
265	555	1532
266	557	1530
267	559	1527
268	560	1524
269	562	1521
270	564	1519
271	566	1517
272	569	1516
273	571	1513
274	573	1510
275	574	1507
276	576	1504
277	578	1501
278	579	1498
279	581	1494
280	583	1492
281	585	1490
282	587	1487
283	588	1484
284	590	1481
285	592	1477
286	593	1474
287	595	1471
288	596	1468
289	598	1465
290	601	1464
291	602	1462
292	604	1459
293	606	1456
294	608	1453
295	609	1450
296	611	1447
297	613	1444
298	615	1442
299	617	1440
300	619	1437
301	620	1434
302	622	1431
303	623	1428
304	625	1425
305	627	1423
306	629	1421
307	631	1418
308	633	1416
309	635	1414
310	637	1411
311	638	1408
312	640	1405
313	642	1402
314	643	1399
315	645	1396
316	647	1394
317	649	1392
318	651	1390
319	653	1388
320	655	1385
321	656	1382
322	658	1380
323	660	1377
324	661	1374
325	663	1372
326	665	1370
327	667	1367
328	669	1364
329	670	1362
330	672	1359
331	674	1356
332	676	1354
333	677	1351
334	679	1348
335	681	1346
336	683	1344
337	685	1342
338	687	1340
339	689	1338
340	691	1335
341	693	1333
342	694	1330
343	696	1328
344	698	1326
345	700	1324
346	702	1322
347	704	1319
348	706	1317
349	707	1314
350	709	1311
351	711	1309
352	713	1308
353	715	1306
354	717	1303
355	719	1301
356	721	1299
357	723	1296
358	724	1294
359	726	1291
360	728	1289
361	731	1288
362	733	1286
363	735	1284
364	738	1283
365	739	1281
366	741	1279
367	743	1276
368	745	1274
369	748	1274
370	750	1272
371	752	1270
372	754	1268
373	756	1265
374	757	1262
375	759	1260
376	761	1257
377	763	1255
378	765	1253
379	766	1251
380	768	1249
381	770	1246
382	772	1244
383	774	1242
384	775	1239
