ID,KDMK,NAMA MK,JENIS,SKS,NILAI
Alumni003,IT045201,ALGORITMA DAN PEMROGRAMAN 1,W,2,A
Alumni003,IT045202,ALGORITMA DAN PEMROGRAMAN 2,U,2,B
Alumni003,IT045203,ALGORITMA DAN PEMROGRAMAN 3,U,2,A
Alumni003,AK045301,ALGORITMA DAN PENGOLAHAN PARALEL,W,3,B
Alumni003,IT045240,ALGORITMA DEEP LEARNING,W,2,A
Alumni003,AK045203,ARSITEKTUR KOMPUTER,U,2,A
Alumni003,PB045204,BAHASA INDONESIA,W,2,A
Alumni003,IT045104,BAHASA INGGRIS 1,W,1,B
Alumni003,IT045105,BAHASA INGGRIS 2,W,1,B
Alumni003,IT045106,BAHASA INGGRIS BISNIS 1,W,1,A
Alumni003,IT045107,BAHASA INGGRIS BISNIS 2,W,1,B
Alumni003,PB045107,BISNIS INFORMATIKA,W,1,A
Alumni003,IT045132,DISAIN PEMODELAN GRAFIK,W,1,A
Alumni003,IT045208,FISIKA DAN KIMIA DASAR 1,W,2,C
Alumni003,IT045209,FISIKA DAN KIMIA DASAR 2,W,2,B
Alumni003,IT045242,FORENSIK TEKNOLOGI INFORMASI,W,2,A
Alumni003,AK045205,GRAFIK KOMPUTER 1,W,2,A
Alumni003,AK045206,GRAFIK KOMPUTER 2,W,2,B
Alumni003,HM045101,ILMU BUDAYA DASAR,W,1,A
Alumni003,HM045102,ILMU SOSIAL DASAR,W,1,B
Alumni003,AK045238,INFORMATIKA KESEHATAN,P,2,B
Alumni003,AK045307,INTERAKSI MANUSIA DAN KOMPUTER,U,3,B
Alumni003,AK045308,JARINGAN KOMPUTER,U,3,A
Alumni003,AK045209,JARINGAN KOMPUTER LANJUT,P,2,B
Alumni003,AK045218,KECERDASAN BUATAN,W,2,C
Alumni003,IT045136,KOMPUTASI MODERN,W,1,A
Alumni003,AK045210,KONSEP DATA MINING,P,2,B
Alumni003,IT045312,KONSEP TEKNOLOGI INFORMASI,W,3,A
Alumni003,PB045202,LEGAL ASPEK PRODUK TEKNOLOGI INFORMASI DAN KOMUNIKASI,W,2,B
Alumni003,IT045210,MATEMATIKA DASAR 1,W,2,C
Alumni003,IT045238,MATEMATIKA DASAR 2,U,2,A
Alumni003,IT045213,MATEMATIKA INFORMATIKA 1,W,2,B
Alumni003,IT045214,MATEMATIKA INFORMATIKA 2,W,2,B
Alumni003,IT045215,MATEMATIKA INFORMATIKA 3,W,2,B
Alumni003,IT045216,MATEMATIKA INFORMATIKA 4,U,2,B
