ID,NAMA MK,JENIS,SKS,NILAI
Alumni001,ALGORITMA DAN PEMROGRAMAN 1,W,2,A
Alumni001,ALGORITMA DAN PEMROGRAMAN 2,U,2,B
Alumni001,ALGORITMA DAN PEMROGRAMAN 3,U,2,A
Alumni001,ALGORITMA DAN PENGOLAHAN PARALEL,W,3,B
Alumni001,ALGORITMA DEEP LEARNING,W,2,A
Alumni001,ARSITEKTUR KOMPUTER,U,2,A
Alumni001,BAHASA INDONESIA,W,2,B
Alumni001,BAHASA INGGRIS 1,W,1,A
Alumni001,BAHASA INGGRIS 2,W,1,B
Alumni001,BAHASA INGGRIS BISNIS 1,W,1,A
Alumni001,BAHASA INGGRIS BISNIS 2,W,1,A
Alumni001,BISNIS INFORMATIKA,W,1,A
Alumni001,DISAIN PEMODELAN GRAFIK,W,1,A
Alumni001,FISIKA DAN KIMIA DASAR 1,W,2,B
Alumni001,FISIKA DAN KIMIA DASAR 2,W,2,A
Alumni001,FORENSIK TEKNOLOGI INFORMASI,W,2,A
Alumni001,GRAFIK KOMPUTER 1,W,2,A
Alumni001,GRAFIK KOMPUTER 2,W,2,A
Alumni001,ILMU BUDAYA DASAR,W,1,A
Alumni001,ILMU SOSIAL DASAR,W,1,A
Alumni001,INFORMATIKA KESEHATAN,P,2,B
Alumni001,INTERAKSI MANUSIA DAN KOMPUTER,U,3,B
Alumni001,JARINGAN KOMPUTER,U,3,A
Alumni001,JARINGAN KOMPUTER LANJUT,P,2,A
Alumni001,KECERDASAN BUATAN,W,2,B
Alumni001,KOMPUTASI MODERN,W,1,A
Alumni001,KONSEP DATA MINING,P,2,A
Alumni001,KONSEP TEKNOLOGI INFORMASI,W,3,A
Alumni001,LEGAL ASPEK PRODUK TEKNOLOGI INFORMASI DAN KOMUNIKASI,W,2,B
Alumni001,MATEMATIKA DASAR 1,W,2,A
Alumni001,MATEMATIKA DASAR 2,U,2,B
Alumni001,MATEMATIKA INFORMATIKA 1,W,2,B
Alumni001,MATEMATIKA INFORMATIKA 2   ,W,2,B
Alumni001,MATEMATIKA INFORMATIKA 3,W,2,A
Alumni001,MATEMATIKA INFORMATIKA 4,U,2,B
Alumni001,MATEMATIKA LANJUT 1,W,2,A
Alumni001,MATEMATIKA LANJUT 2,W,2,A
Alumni001,ORGANISASI SISTEM KOMPUTER,U,2,A
Alumni001,PEMODELAN DAN SIMULASI,W,2,B
Alumni001,PEMROGRAMAN BERBASIS OBJEK,W,2,A
Alumni001,PEMROGRAMAN JARINGAN,W,2,B
Alumni001,PEMROGRAMAN MULTIMEDIA,P,2,B
Alumni001,PEMROGRAMAN WEB,W,2,A
Alumni001,PENDIDIKAN AGAMA,W,2,B
Alumni001,PENDIDIKAN KEWARGANEGARAAN,W,2,A
Alumni001,PENDIDIKAN PANCASILA,U,2,B
Alumni001,PENGANTAR TEKNOLOGI INTERNET DAN NEW MEDIA,W,1,A
Alumni001,PENGANTAR TEKNOLOGI KOMPUTER DAN INFORMATIKA,W,3,A
Alumni001,PENGANTAR WEB SCIENCE,W,1,A
Alumni001,PENGELOLAAN PROYEK PERANGKAT LUNAK,W,3,A
Alumni001,PENGOLAHAN CITRA,W,2,B
Alumni001,PENULISAN ILMIAH / KERJA PRAKTEK,W,2,B
Alumni001,PERANCANGAN DAN ANALISA ALGORITMA,U,3,A
Alumni001,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 1,W,1,B
Alumni001,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 2,W,1,B
Alumni001,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 3,W,1,A
Alumni001,PRAKTIKUM FISIKA DASAR,W,1,B
Alumni001,REKAYASA KOMPUTASIONAL,W,2,B
Alumni001,REKAYASA PERANGKAT LUNAK 1,W,2,A
Alumni001,REKAYASA PERANGKAT LUNAK 2,U,2,B
Alumni001,RISET OPERASIONAL,W,2,A
Alumni001,SISTEM BASIS DATA 1,W,3,A
Alumni001,SISTEM BASIS DATA 2,U,3,A
Alumni001,SISTEM BERKAS,U,2,A
Alumni001,SISTEM INFORMASI,U,2,A
Alumni001,SISTEM INFORMASI AKUNTANSI DAN KEUANGAN,P,2,A
Alumni001,SISTEM INFORMASI MANAJEMEN,W,2,A
Alumni001,SISTEM KEAMANAN KOMPUTER,W,2,A
Alumni001,SISTEM MULTIMEDIA,W,2,B
Alumni001,SISTEM OPERASI,U,3,A
Alumni001,SISTEM TERDISTRIBUSI,P,2,B
Alumni001,SKRIPSI / EVALUASI KOMPREHENSIF,W,6,A
Alumni001,STATISTIKA 1,W,2,B
Alumni001,STATISTIKA 2,W,2,A
Alumni001,STRUKTUR DATA  ,W,2,A
Alumni001,TEKNIK KOMPILASI,W,3,B
Alumni001,TEKNOLOGI GAME,W,1,C
Alumni001,TEORI BAHASA DAN OTOMATA,U,3,B
