NPM,KDMK,NAMA MK,JENIS,SKS,NILAI
51417061,AK045210,KONSEP DATA MINING,P,2,A
51417061,AK045223,PENGANTAR SISTEM TERDISTRIBUSI,P,2,A
51417061,AK045215,PEMROGRAMAN MULTIMEDIA,P,2,A
50414234,AK045308,JARINGAN KOMPUTER,U,3,A
50414234,IT045238,MATEMATIKA DASAR 2,U,2,A
50414234,IT045218,MATEMATIKA LANJUT 2,W,2,A
50414279,AK045209,JARINGAN KOMPUTER LANJUT,P,2,A
50414279,IT045238,MATEMATIKA DASAR 2,U,2,A
50414279,IT045213,MATEMATIKA INFORMATIKA 1,W,2,A
50414279,AK045307,INTERAKSI MANUSIA & KOMPUTER,U,3,A
50414496,AK045335,TEKNIK KOMPILASI,W,3,A
50414496,AK045209,JARINGAN KOMPUTER LANJUT,P,2,A
50414496,IT045208,FISIKA & KIMIA DASAR 1,W,2,A
50414496,IT045227,STATISTIKA 1,W,2,A
50414496,IT045233,RISET OPERASIONAL,W,2,A
50414496,AK045231,SISTEM INFORMASI,U,2,A
51414049,IT045227,STATISTIKA 1,W,2,A
51414049,AK045325,PERANCANGAN DAN ANALISA ALGORITMA,W,3,A
51414049,AK045307,INTERAKSI MANUSIA & KOMPUTER,U,3,A
51414196,IT045238,MATEMATIKA DASAR 2,U,2,A
51414196,IT045217,MATEMATIKA LANJUT 1,W,2,A
51414196,AK045231,SISTEM INFORMASI,U,2,A
51414196,AK045330,SISTEM BASIS DATA 2,U,3,A
51414598,IT045238,MATEMATIKA DASAR 2,U,2,A
51414598,PB045105,BAHASA INDONESIA 2,W,1,A
51414845,IT045210,MATEMATIKA DASAR 1,W,2,A
51414845,IT045208,FISIKA & KIMIA DASAR 1,W,2,A
51414845,IT045229,STRUKTUR DATA,W,2,A
51414845,AK045213,PEMROGRAMAN BERBASIS OBJEK,W,2,A
51414845,AK045307,INTERAKSI MANUSIA & KOMPUTER,U,3,A
52414214,IT045208,FISIKA & KIMIA DASAR 1,W,2,A
52414214,IT045238,MATEMATIKA DASAR 2,U,2,A
52414214,PP000201,PENDIDIKAN AGAMA ISLAM,W,2,A
52414214,IT045233,RISET OPERASIONAL,W,2,A
54414002,IT045228,STATISTIKA 2,W,2,A
54414002,AK045330,SISTEM BASIS DATA 2,U,3,A
54414002,IT045330,TEORI BAHASA DAN OTOMATA,U,3,A
54414002,IT045216,MATEMATIKA INFORMATIKA 4,U,2,A
54414455,IT045210,MATEMATIKA DASAR 1,W,2,A
54414455,IT045238,MATEMATIKA DASAR 2,U,2,A
54414455,AK045333,SISTEM OPERASI,U,3,A
56414412,IT045229,STRUKTUR DATA,W,2,A
56414412,PB045105,BAHASA INDONESIA 2,W,1,A
56414625,IT045320,PENGANTAR TEKNOLOGI KOMPUTER & INFORMATIKA,W,3,A
56414625,IT045312,KONSEP TEKNOLOGI INFORMASI,W,3,A
56414625,AK045329,SISTEM BASIS DATA 1,W,3,A
56414625,IT045135,PENGANTAR WEB SCIENCE,W,1,A
56414625,AK045307,INTERAKSI MANUSIA & KOMPUTER,U,3,A
56414852,IT045201,ALGORITMA & PEMROGRAMAN 1,W,2,A
56414852,IT045238,MATEMATIKA DASAR 2,U,2,A
56414852,IT045217,MATEMATIKA LANJUT 1,W,2,A
56414852,IT045227,STATISTIKA 1,W,2,A
56414852,AK045329,SISTEM BASIS DATA 1,W,3,A
56414852,AK045231,SISTEM INFORMASI,U,2,A
56414852,IT045228,STATISTIKA 2,W,2,A
57414263,IT045217,MATEMATIKA LANJUT 1,W,2,A
57414308,IT045216,MATEMATIKA INFORMATIKA 4,U,2,A
57414416,AK045333,SISTEM OPERASI,U,3,A
57414416,AK045308,JARINGAN KOMPUTER,U,3,A
57414549,IT045210,MATEMATIKA DASAR 1,W,2,A
57414549,IT045201,ALGORITMA & PEMROGRAMAN 1,W,2,A
57414549,IT045208,FISIKA & KIMIA DASAR 1,W,2,A
57414549,IT045238,MATEMATIKA DASAR 2,U,2,A
57414549,IT045202,ALGORITMA & PEMROGRAMAN 2,U,2,A
57414549,IT045105,BAHASA INGGRIS 2,W,1,A
57414549,IT045209,FISIKA DAN KIMIA DASAR 2,W,2,A
57414549,IT045214,MATEMATIKA INFORMATIKA 2,W,2,A
57414549,IT045227,STATISTIKA 1,W,2,A
57414549,IT045203,ALGORITMA & PEMROGRAMAN 3,U,2,A
57414549,IT045233,RISET OPERASIONAL,W,2,A
57414549,AK045307,INTERAKSI MANUSIA & KOMPUTER,U,3,A
57414549,AK045330,SISTEM BASIS DATA 2,U,3,A
57414549,IT045218,MATEMATIKA LANJUT 2,W,2,A
57414549,IT045226,SISTEM INFORMASI MANAJEMEN,W,2,A
57414549,IT045228,STATISTIKA 2,W,2,A
57414549,AK045203,ARSITEKTUR KOMPUTER,U,2,A
57414549,IT045216,MATEMATIKA INFORMATIKA 4,U,2,A
57414549,AK045212,PEMODELAN DAN SIMULASI,W,2,A
57414549,AK045335,TEKNIK KOMPILASI,W,3,A
57414600,AK045307,INTERAKSI MANUSIA & KOMPUTER,U,3,A
57414600,IT045330,TEORI BAHASA DAN OTOMATA,U,3,A
57414600,IT045218,MATEMATIKA LANJUT 2,W,2,A
57414600,IT045216,MATEMATIKA INFORMATIKA 4,U,2,A
59414041,IT045210,MATEMATIKA DASAR 1,W,2,A
59414041,IT045229,STRUKTUR DATA,W,2,A
59414041,IT045218,MATEMATIKA LANJUT 2,W,2,A
59414041,IT045228,STATISTIKA 2,W,2,A
59414376,IT045209,FISIKA DAN KIMIA DASAR 2,W,2,A
59414376,IT045226,SISTEM INFORMASI MANAJEMEN,W,2,A
59414376,AK045307,INTERAKSI MANUSIA & KOMPUTER,U,3,A
59414376,AK045330,SISTEM BASIS DATA 2,U,3,A
59414443,IT045216,MATEMATIKA INFORMATIKA 4,U,2,A
59414693,IT045238,MATEMATIKA DASAR 2,U,2,A
59414693,IT045215,MATEMATIKA INFORMATIKA 3,W,2,A
59414693,IT045229,STRUKTUR DATA,W,2,A
59414693,IT045228,STATISTIKA 2,W,2,A
59414693,IT045216,MATEMATIKA INFORMATIKA 4,U,2,A
59414693,AK045307,INTERAKSI MANUSIA & KOMPUTER,U,3,A
59414693,IT045330,TEORI BAHASA DAN OTOMATA,U,3,A
5C414051,IT045320,PENGANTAR TEKNOLOGI KOMPUTER & INFORMATIKA,W,3,A
5C414051,IT045214,MATEMATIKA INFORMATIKA 2,W,2,A
5C414051,IT045217,MATEMATIKA LANJUT 1,W,2,A
5C414051,IT045229,STRUKTUR DATA,W,2,A
5C414051,AK045329,SISTEM BASIS DATA 1,W,3,A
5C414051,IT045228,STATISTIKA 2,W,2,A
5C414051,PB045105,BAHASA INDONESIA 2,W,1,A
5C414051,AK045330,SISTEM BASIS DATA 2,U,3,A
5C414646,AK045325,PERANCANGAN DAN ANALISA ALGORITMA,W,3,A
5C414646,IT045228,STATISTIKA 2,W,2,A
5D414305,IT045238,MATEMATIKA DASAR 2,U,2,A
5D414305,IT045227,STATISTIKA 1,W,2,A
