ID,IPK,TAHUN LULUS,PROFESI PEKERJAAN,NAMA MK,SKS,NILAI,INDEX
Alumni003,3.3,2020,Software Engineer,ALGORITMA DAN PEMROGRAMAN 1,2,A,ALGORITMA DAN PEMROGRAMAN 1
Alumni003,3.3,2020,Software Engineer,ALGORITMA DAN PEMROGRAMAN 2,2,B,ALGORITMA DAN PEMROGRAMAN 2
Alumni003,3.3,2020,Software Engineer,ALGORITMA DAN PEMROGRAMAN 3,2,A,ALGORITMA DAN PEMROGRAMAN 3
Alumni003,3.3,2020,Software Engineer,ALGORITMA DAN PENGOLAHAN PARALEL,3,B,ALGORITMA DAN PENGOLAHAN PARALEL
Alumni003,3.3,2020,Software Engineer,ALGORITMA DEEP LEARNING,2,A,ALGORITMA DEEP LEARNING
Alumni003,3.3,2020,Software Engineer,ARSITEKTUR KOMPUTER,2,A,ARSITEKTUR KOMPUTER
Alumni003,3.3,2020,Software Engineer,BAHASA INDONESIA,2,A,BAHASA INDONESIA
Alumni003,3.3,2020,Software Engineer,BAHASA INGGRIS 1,1,B,BAHASA INGGRIS 1
Alumni003,3.3,2020,Software Engineer,BAHASA INGGRIS 2,1,B,BAHASA INGGRIS 2
Alumni003,3.3,2020,Software Engineer,BAHASA INGGRIS BISNIS 1,1,A,BAHASA INGGRIS BISNIS 1
Alumni003,3.3,2020,Software Engineer,BAHASA INGGRIS BISNIS 2,1,B,BAHASA INGGRIS BISNIS 2
Alumni003,3.3,2020,Software Engineer,BISNIS INFORMATIKA,1,A,BISNIS INFORMATIKA
Alumni003,3.3,2020,Software Engineer,DISAIN PEMODELAN GRAFIK,1,A,DISAIN PEMODELAN GRAFIK
Alumni003,3.3,2020,Software Engineer,FISIKA DAN KIMIA DASAR 1,2,C,FISIKA DAN KIMIA DASAR 1
Alumni003,3.3,2020,Software Engineer,FISIKA DAN KIMIA DASAR 2,2,B,FISIKA DAN KIMIA DASAR 2
Alumni003,3.3,2020,Software Engineer,FORENSIK TEKNOLOGI INFORMASI,2,A,FORENSIK TEKNOLOGI INFORMASI
Alumni003,3.3,2020,Software Engineer,GRAFIK KOMPUTER 1,2,A,GRAFIK KOMPUTER 1
Alumni003,3.3,2020,Software Engineer,GRAFIK KOMPUTER 2,2,B,GRAFIK KOMPUTER 2
Alumni003,3.3,2020,Software Engineer,ILMU BUDAYA DASAR,1,A,ILMU BUDAYA DASAR
Alumni003,3.3,2020,Software Engineer,ILMU SOSIAL DASAR,1,B,ILMU SOSIAL DASAR
Alumni003,3.3,2020,Software Engineer,INFORMATIKA KESEHATAN,2,B,INFORMATIKA KESEHATAN
Alumni003,3.3,2020,Software Engineer,INTERAKSI MANUSIA DAN KOMPUTER,3,B,INTERAKSI MANUSIA DAN KOMPUTER
Alumni003,3.3,2020,Software Engineer,JARINGAN KOMPUTER,3,A,JARINGAN KOMPUTER
Alumni003,3.3,2020,Software Engineer,JARINGAN KOMPUTER LANJUT,2,B,JARINGAN KOMPUTER LANJUT
Alumni003,3.3,2020,Software Engineer,KECERDASAN BUATAN,2,C,KECERDASAN BUATAN
Alumni003,3.3,2020,Software Engineer,KOMPUTASI MODERN,1,A,KOMPUTASI MODERN
Alumni003,3.3,2020,Software Engineer,KONSEP DATA MINING,2,B,KONSEP DATA MINING
Alumni003,3.3,2020,Software Engineer,KONSEP TEKNOLOGI INFORMASI,3,A,KONSEP TEKNOLOGI INFORMASI
Alumni003,3.3,2020,Software Engineer,LEGAL ASPEK PRODUK TEKNOLOGI INFORMASI DAN KOMUNIKASI,2,B,LEGAL ASPEK PRODUK TEKNOLOGI INFORMASI DAN KOMUNIKASI
Alumni003,3.3,2020,Software Engineer,MATEMATIKA DASAR 1,2,C,MATEMATIKA DASAR 1
Alumni003,3.3,2020,Software Engineer,MATEMATIKA DASAR 2,2,A,MATEMATIKA DASAR 2
Alumni003,3.3,2020,Software Engineer,MATEMATIKA INFORMATIKA 1,2,B,MATEMATIKA INFORMATIKA 1
Alumni003,3.3,2020,Software Engineer,MATEMATIKA INFORMATIKA 2,2,B,MATEMATIKA INFORMATIKA 2
Alumni003,3.3,2020,Software Engineer,MATEMATIKA INFORMATIKA 3,2,B,MATEMATIKA INFORMATIKA 3
Alumni003,3.3,2020,Software Engineer,MATEMATIKA INFORMATIKA 4,2,B,MATEMATIKA INFORMATIKA 4
Alumni003,3.3,2020,Software Engineer,MATEMATIKA LANJUT 1,2,C,MATEMATIKA LANJUT 1
Alumni003,3.3,2020,Software Engineer,MATEMATIKA LANJUT 2,2,A,MATEMATIKA LANJUT 2
Alumni003,3.3,2020,Software Engineer,ORGANISASI SISTEM KOMPUTER,2,B,ORGANISASI SISTEM KOMPUTER
Alumni003,3.3,2020,Software Engineer,PEMODELAN DAN SIMULASI,2,C,PEMODELAN DAN SIMULASI
Alumni003,3.3,2020,Software Engineer,PEMROGRAMAN BERBASIS OBJEK,2,B,PEMROGRAMAN BERBASIS OBJEK
Alumni003,3.3,2020,Software Engineer,PEMROGRAMAN JARINGAN,2,B,PEMROGRAMAN JARINGAN
Alumni003,3.3,2020,Software Engineer,PEMROGRAMAN MULTIMEDIA,2,A,PEMROGRAMAN MULTIMEDIA
Alumni003,3.3,2020,Software Engineer,PEMROGRAMAN WEB,2,A,PEMROGRAMAN WEB
Alumni003,3.3,2020,Software Engineer,PENDIDIKAN AGAMA ISLAM,2,A,PENDIDIKAN AGAMA ISLAM
Alumni003,3.3,2020,Software Engineer,PENDIDIKAN KEWARGANEGARAAN,2,A,PENDIDIKAN KEWARGANEGARAAN
Alumni003,3.3,2020,Software Engineer,PENDIDIKAN PANCASILA,2,A,PENDIDIKAN PANCASILA
Alumni003,3.3,2020,Software Engineer,PENGANTAR TEKNOLOGI INTERNET DAN NEW MEDIA,1,B,PENGANTAR TEKNOLOGI INTERNET DAN NEW MEDIA
Alumni003,3.3,2020,Software Engineer,PENGANTAR TEKNOLOGI KOMPUTER DAN INFORMATIKA,3,B,PENGANTAR TEKNOLOGI KOMPUTER DAN INFORMATIKA
Alumni003,3.3,2020,Software Engineer,PENGANTAR WEB SCIENCE,1,A,PENGANTAR WEB SCIENCE
Alumni003,3.3,2020,Software Engineer,PENGELOLAAN PROYEK PERANGKAT LUNAK,3,A,PENGELOLAAN PROYEK PERANGKAT LUNAK
Alumni003,3.3,2020,Software Engineer,PENGOLAHAN CITRA,2,B,PENGOLAHAN CITRA
Alumni003,3.3,2020,Software Engineer,PENULISAN ILMIAH / KERJA PRAKTEK,2,A,PENULISAN ILMIAH / KERJA PRAKTEK
Alumni003,3.3,2020,Software Engineer,PERANCANGAN DAN ANALISA ALGORITMA,3,B,PERANCANGAN DAN ANALISA ALGORITMA
Alumni003,3.3,2020,Software Engineer,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 1,1,A,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 1
Alumni003,3.3,2020,Software Engineer,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 2,1,A,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 2
Alumni003,3.3,2020,Software Engineer,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 3,1,B,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 3
Alumni003,3.3,2020,Software Engineer,PRAKTIKUM FISIKA DASAR,1,B,PRAKTIKUM FISIKA DASAR
Alumni003,3.3,2020,Software Engineer,REKAYASA KOMPUTASIONAL,2,B,REKAYASA KOMPUTASIONAL
Alumni003,3.3,2020,Software Engineer,REKAYASA PERANGKAT LUNAK 1,2,A,REKAYASA PERANGKAT LUNAK 1
Alumni003,3.3,2020,Software Engineer,REKAYASA PERANGKAT LUNAK 2,2,B,REKAYASA PERANGKAT LUNAK 2
Alumni003,3.3,2020,Software Engineer,RISET OPERASIONAL,2,B,RISET OPERASIONAL
Alumni003,3.3,2020,Software Engineer,SISTEM BASIS DATA 1,3,B,SISTEM BASIS DATA 1
Alumni003,3.3,2020,Software Engineer,SISTEM BASIS DATA 2,3,B,SISTEM BASIS DATA 2
Alumni003,3.3,2020,Software Engineer,SISTEM BERKAS,2,A,SISTEM BERKAS
Alumni003,3.3,2020,Software Engineer,SISTEM INFORMASI,2,B,SISTEM INFORMASI
Alumni003,3.3,2020,Software Engineer,SISTEM INFORMASI AKUNTANSI DAN KEUANGAN,2,A,SISTEM INFORMASI AKUNTANSI DAN KEUANGAN
Alumni003,3.3,2020,Software Engineer,SISTEM INFORMASI MANAJEMEN,2,A,SISTEM INFORMASI MANAJEMEN
Alumni003,3.3,2020,Software Engineer,SISTEM KEAMANAN KOMPUTER,2,B,SISTEM KEAMANAN KOMPUTER
Alumni003,3.3,2020,Software Engineer,SISTEM MULTIMEDIA,2,B,SISTEM MULTIMEDIA
Alumni003,3.3,2020,Software Engineer,SISTEM OPERASI,3,B,SISTEM OPERASI
Alumni003,3.3,2020,Software Engineer,SISTEM TERDISTRIBUSI,2,B,SISTEM TERDISTRIBUSI
Alumni003,3.3,2020,Software Engineer,SKRIPSI / EVALUASI KOMPREHENSIF,6,A,SKRIPSI / EVALUASI KOMPREHENSIF
Alumni003,3.3,2020,Software Engineer,STATISTIKA 1,2,C,STATISTIKA 1
Alumni003,3.3,2020,Software Engineer,STATISTIKA 2,2,A,STATISTIKA 2
Alumni003,3.3,2020,Software Engineer,STRUKTUR DATA,2,C,STRUKTUR DATA
Alumni003,3.3,2020,Software Engineer,TEKNIK KOMPILASI,3,B,TEKNIK KOMPILASI
Alumni003,3.3,2020,Software Engineer,TEKNOLOGI GAME,1,B,TEKNOLOGI GAME
Alumni003,3.3,2020,Software Engineer,TEORI BAHASA DAN OTOMATA,3,B,TEORI BAHASA DAN OTOMATA
Alumni003,3.3,2020,Software Engineer,ALGORITMA DAN PEMROGRAMAN 1,2,A,ALGORITMA DAN PEMROGRAMAN 1
Alumni003,3.3,2020,Software Engineer,ALGORITMA DAN PEMROGRAMAN 2,2,B,ALGORITMA DAN PEMROGRAMAN 2
Alumni003,3.3,2020,Software Engineer,ALGORITMA DAN PEMROGRAMAN 3,2,A,ALGORITMA DAN PEMROGRAMAN 3
Alumni003,3.3,2020,Software Engineer,ALGORITMA DAN PENGOLAHAN PARALEL,3,B,ALGORITMA DAN PENGOLAHAN PARALEL
Alumni003,3.3,2020,Software Engineer,ALGORITMA DEEP LEARNING,2,A,ALGORITMA DEEP LEARNING
Alumni003,3.3,2020,Software Engineer,ARSITEKTUR KOMPUTER,2,A,ARSITEKTUR KOMPUTER
Alumni003,3.3,2020,Software Engineer,BAHASA INDONESIA,2,A,BAHASA INDONESIA
Alumni003,3.3,2020,Software Engineer,BAHASA INGGRIS 1,1,B,BAHASA INGGRIS 1
Alumni003,3.3,2020,Software Engineer,BAHASA INGGRIS 2,1,B,BAHASA INGGRIS 2
Alumni003,3.3,2020,Software Engineer,BAHASA INGGRIS BISNIS 1,1,A,BAHASA INGGRIS BISNIS 1
Alumni003,3.3,2020,Software Engineer,BAHASA INGGRIS BISNIS 2,1,B,BAHASA INGGRIS BISNIS 2
Alumni003,3.3,2020,Software Engineer,BISNIS INFORMATIKA,1,A,BISNIS INFORMATIKA
Alumni003,3.3,2020,Software Engineer,DISAIN PEMODELAN GRAFIK,1,A,DISAIN PEMODELAN GRAFIK
Alumni003,3.3,2020,Software Engineer,FISIKA DAN KIMIA DASAR 1,2,C,FISIKA DAN KIMIA DASAR 1
Alumni003,3.3,2020,Software Engineer,FISIKA DAN KIMIA DASAR 2,2,B,FISIKA DAN KIMIA DASAR 2
Alumni003,3.3,2020,Software Engineer,FORENSIK TEKNOLOGI INFORMASI,2,A,FORENSIK TEKNOLOGI INFORMASI
Alumni003,3.3,2020,Software Engineer,GRAFIK KOMPUTER 1,2,A,GRAFIK KOMPUTER 1
