NPM,IPK,Klasifikasi Profesi,ALGORITMA DAN PEMROGRAMAN 1,ALGORITMA DAN PEMROGRAMAN 2,ALGORITMA DAN PEMROGRAMAN 3,ALGORITMA DAN PENGOLAHAN PARALEL,ALGORITMA DEEP LEARNING,ARSITEKTUR KOMPUTER,BAHASA INDONESIA,BAHASA INGGRIS 1,BAHASA INGGRIS 2,BAHASA INGGRIS BISNIS 1,BAHASA INGGRIS BISNIS 2,BISNIS INFORMATIKA,COMPUTER VISION,DISAIN PEMODELAN GRAFIK,FISIKA DAN KIMIA DASAR 1,FISIKA DAN KIMIA DASAR 2,FORENSIK TEKNOLOGI INFORMASI,GRAFIK KOMPUTER 1,GRAFIK KOMPUTER 2,ILMU BUDAYA DASAR,ILMU SOSIAL DASAR,INFORMATIKA KESEHATAN,INTERAKSI MANUSIA DAN KOMPUTER,JARINGAN KOMPUTER,JARINGAN KOMPUTER LANJUT,KECERDASAN BUATAN,KOMPUTASI BIG DATA,KOMPUTASI MODERN,KONSEP DATA MINING,KONSEP TEKNOLOGI INFORMASI,LEGAL ASPEK PRODUK TEKNOLOGI INFORMASI DAN KOMUNIKASI,MATEMATIKA DASAR 1,MATEMATIKA DASAR 2,MATEMATIKA INFORMATIKA 1,MATEMATIKA INFORMATIKA 2,MATEMATIKA INFORMATIKA 3,MATEMATIKA INFORMATIKA 4,MATEMATIKA LANJUT 1,MATEMATIKA LANJUT 2,ORGANISASI SISTEM KOMPUTER,PEMODELAN DAN SIMULASI,PEMROGRAMAN BERBASIS OBJEK,PEMROGRAMAN JARINGAN,PEMROGRAMAN MULTIMEDIA,PEMROGRAMAN WEB,PENDIDIKAN AGAMA BUDDHA,PENDIDIKAN AGAMA HINDU,PENDIDIKAN AGAMA ISLAM,PENDIDIKAN AGAMA KATHOLIK,PENDIDIKAN AGAMA KRISTEN,PENDIDIKAN KEWARGANEGARAAN,PENDIDIKAN PANCASILA,PENGANTAR TEKNOLOGI INTERNET DAN NEW MEDIA,PENGANTAR TEKNOLOGI KOMPUTER DAN INFORMATIKA,PENGANTAR WEB SCIENCE,PENGELOLAAN PROYEK PERANGKAT LUNAK,PENGOLAHAN CITRA,PENULISAN ILMIAH / KERJA PRAKTEK,PERANCANGAN DAN ANALISA ALGORITMA,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 1,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 2,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 3,PRAKTIKUM FISIKA DASAR,PRAKTIKUM KOMPUTASI BIG DATA,PRAKTIKUM ROBOTIKA CERDAS,PRAKTIKUM TEKNOLOGI KECERDASAN ARTIFISIAL,PRAKTIKUM TERAPAN TEORI GRAF,REKAYASA KOMPUTASIONAL,REKAYASA PERANGKAT LUNAK 1,REKAYASA PERANGKAT LUNAK 2,RISET OPERASIONAL,ROBOTIKA CERDAS,SISTEM BASIS DATA 1,SISTEM BASIS DATA 2,SISTEM BERKAS,SISTEM INFORMASI,SISTEM INFORMASI AKUNTANSI DAN KEUANGAN,SISTEM INFORMASI MANAJEMEN,SISTEM KEAMANAN KOMPUTER,SISTEM MULTIMEDIA,SISTEM OPERASI,SISTEM TERDISTRIBUSI,SKRIPSI / EVALUASI KOMPREHENSIF,STATISTIKA 1,STATISTIKA 2,STRUKTUR DATA,TEKNIK KOMPILASI,TEKNOLOGI GAME,TEKNOLOGI KECERDASAN ARTIFICIAL,TEORI BAHASA DAN OTOMATA,TERAPAN TEORI GRAF
50414234,3.3,Software Engineer,4,3,4,3,4,4,4,3,3,4,3,4,0,4,2,3,4,4,3,4,3,3,3,4,3,2,0,4,3,4,3,2,4,3,3,3,3,2,4,3,2,3,3,4,4,0,0,4,0,0,4,4,3,3,4,4,3,4,3,4,4,3,3,0,0,0,0,3,4,3,3,0,3,3,4,3,4,4,3,3,3,3,4,2,4,2,3,3,0,3,0
50414279,3.1,Data Engineer,3,3,3,3,2,3,3,2,3,4,3,3,0,3,3,3,3,3,3,3,4,2,4,3,4,3,0,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,3,3,2,3,3,3,2,4,3,2,3,3,3,0,0,0,0,3,3,3,3,0,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,0,3,0
50414496,3.25,Data Analyst,3,3,3,3,4,4,3,3,3,4,4,3,0,4,4,3,3,3,1,3,3,3,3,3,4,3,0,4,3,3,3,3,2,3,3,4,4,3,2,3,4,3,3,3,3,0,0,3,0,0,3,4,3,4,4,3,3,4,3,3,3,3,3,0,0,0,0,4,4,3,4,0,3,3,4,4,3,4,3,2,3,4,4,4,2,3,4,4,0,3,0
50414623,3.38,Software Engineer,4,3,3,3,3,4,3,3,4,4,3,4,0,4,4,4,4,4,3,4,4,4,3,3,3,4,0,4,3,3,3,2,3,4,3,3,3,4,3,4,4,4,3,3,3,0,0,3,0,0,3,3,4,4,4,3,3,4,3,3,3,3,3,0,0,0,0,3,4,3,3,0,4,3,3,4,4,4,4,2,3,3,3,4,4,3,4,4,0,3,0
50414925,3.72,Mobile App Developer,4,3,4,4,4,4,3,3,3,4,3,4,0,4,4,4,4,4,4,4,4,3,3,4,4,4,0,3,0,4,4,3,3,4,3,4,4,4,4,4,4,4,2,0,4,0,0,4,0,0,4,4,4,4,4,3,3,4,4,4,4,4,4,0,0,0,0,3,4,3,3,0,4,4,4,4,4,4,4,3,3,0,4,4,4,4,4,4,0,3,0
50415185,3.29,IT Project Manager,3,3,4,3,4,3,3,3,3,3,3,4,0,4,4,3,4,4,3,3,4,3,3,3,3,4,0,4,4,3,4,3,3,4,3,3,3,4,3,3,3,3,3,3,3,0,0,3,0,0,3,3,4,3,4,4,3,4,3,3,3,3,3,0,0,0,0,3,3,3,4,0,3,3,3,3,4,3,4,3,3,3,4,4,3,3,3,4,0,3,0
50415335,3.36,Network Engineer,3,3,4,3,3,4,3,4,2,4,2,4,0,3,4,4,4,3,3,4,4,2,4,4,3,3,0,3,4,3,2,4,4,3,4,3,3,4,3,3,3,2,3,4,3,0,0,3,0,0,4,4,4,3,3,3,3,4,4,2,3,3,3,0,0,0,0,3,4,3,4,0,4,4,4,3,4,3,3,2,3,2,4,3,4,3,3,4,0,3,0
50415370,3.67,Software Quality Assurance,2,4,4,4,4,4,3,3,4,4,4,4,0,4,4,4,4,3,4,4,4,4,3,4,4,4,0,3,0,4,4,4,3,4,3,4,4,4,3,4,3,4,3,0,4,0,0,4,0,0,4,4,4,4,4,4,3,4,4,3,3,4,4,0,0,0,0,2,4,3,3,0,4,3,4,3,4,4,3,3,4,0,4,4,3,4,4,4,0,3,0
50415582,3.43,Mobile App Developer,3,3,4,3,4,4,3,3,2,4,3,4,0,4,4,3,4,3,3,4,4,3,4,3,4,4,0,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,3,4,4,0,0,3,0,0,3,3,3,3,4,4,3,4,3,3,3,3,3,0,0,0,0,3,3,3,4,0,3,3,3,3,4,4,4,3,3,3,3,3,3,4,4,4,0,3,0
50415780,3.09,Software Engineer,3,3,3,3,4,3,3,3,4,3,4,3,0,3,2,3,4,2,3,2,3,3,4,3,3,3,0,4,3,3,4,3,3,3,4,3,4,3,3,3,4,3,3,3,3,0,0,2,0,0,3,2,4,3,3,3,3,4,3,2,3,3,3,0,0,0,0,3,3,3,2,0,3,3,3,4,3,3,3,2,3,3,3,2,4,4,3,4,0,3,0
50416214,3.18,Software Engineer,4,4,3,3,2,3,2,3,3,2,4,4,0,4,4,3,1,3,3,4,4,3,2,4,2,3,0,1,4,4,4,3,3,4,4,3,3,3,3,3,3,3,1,3,4,0,0,2,0,0,3,3,4,3,1,4,3,4,4,4,3,3,3,0,0,0,0,2,4,3,4,0,4,3,4,3,4,2,3,2,3,3,4,3,4,3,4,4,0,2,0
50416342,3.35,Software Quality Assurance,4,3,3,3,4,3,3,4,4,3,3,4,0,3,3,3,3,3,1,4,3,4,3,3,3,3,0,4,0,3,3,3,3,3,4,3,4,4,4,3,3,3,3,0,3,0,0,3,0,0,4,4,3,3,3,4,4,4,3,3,3,3,4,0,0,0,0,2,4,4,4,0,3,3,3,4,4,4,4,3,3,0,4,4,4,3,3,4,0,4,0
50416713,3.13,Software Engineer,4,3,3,3,4,3,3,3,4,3,4,3,0,3,3,3,3,3,2,4,4,2,4,4,3,3,0,1,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,3,3,0,0,3,0,0,3,3,2,4,2,2,3,4,3,3,3,2,3,0,2,0,0,1,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,4,3,4,3,3,0,4,0
50417207,3.2,Software Engineer,4,3,3,3,4,3,4,2,4,4,4,4,0,4,4,3,4,3,2,3,3,4,3,3,4,4,0,4,3,3,3,3,3,3,2,2,3,2,3,3,2,2,3,3,4,0,0,4,0,0,4,3,4,3,4,4,3,4,4,3,3,1,2,0,3,0,0,3,4,4,2,3,3,3,3,3,3,2,4,4,3,4,4,2,2,2,4,3,0,3,0
50417328,3.45,Software Engineer,3,3,3,4,4,3,3,4,4,4,4,4,0,4,3,4,4,4,4,4,4,4,3,4,3,4,0,4,0,4,3,4,3,4,3,3,4,3,3,3,3,4,3,0,3,0,0,3,0,0,3,3,3,4,4,4,3,4,4,3,3,3,3,0,4,0,0,3,4,4,3,3,3,3,3,3,3,3,4,3,3,0,4,4,4,2,3,4,0,3,0
50418265,3.84,UI/UX Designer,4,4,4,4,4,4,4,2,4,4,4,4,0,3,4,4,4,4,4,4,1,3,4,3,0,4,4,4,0,4,3,4,3,4,3,3,4,4,4,3,4,4,4,0,4,0,0,4,0,0,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,0,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,0,4,4,4,4,4,4,0,3,4
50418615,3.29,Software Quality Assurance,4,3,4,3,3,3,3,4,2,4,3,4,0,2,3,3,4,4,3,4,3,4,3,3,0,4,3,4,4,3,4,3,3,4,2,3,3,4,3,2,3,2,3,4,3,0,0,3,0,0,3,3,3,3,4,4,3,4,4,2,3,3,3,3,2,0,3,3,4,3,4,3,4,3,3,3,3,4,3,2,4,4,4,4,4,4,4,1,0,3,3
50419267,3.71,Web Developer,4,4,4,4,4,4,4,3,4,4,4,4,0,4,4,3,4,4,4,4,3,4,3,4,0,0,4,4,4,4,4,3,3,4,3,3,4,3,3,4,3,4,4,0,4,0,0,0,0,4,4,3,3,3,4,4,4,4,3,3,3,3,2,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,0,4,4,2,4,4,4,4,3,4
50419339,3.84,Software Engineer,4,4,4,3,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,3,4,4,4,4,0,0,4,4,4,4,4,3,4,4,3,3,4,4,3,4,3,3,4,0,4,0,0,4,0,0,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,0,4,4,4,4,4,4,4,4,4
50419603,3.86,Network Administrator,3,4,4,3,4,4,4,4,4,4,4,4,0,4,3,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,3,4,4,3,3,3,3,4,4,4,4,0,4,0,0,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,0,4,4,3,4,4,4,4,4,4
50419666,3.95,Full Stack Developer,4,4,4,3,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,0,4,0,0,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4
50419949,3.91,Software Engineer,4,4,4,4,4,4,4,3,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,3,3,3,3,4,3,4,4,4,4,4,0,4,0,0,4,0,0,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4
